gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4462371645	StillImage	image/jpeg	https://observation.org/photos/81979304.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4462365874	StillImage	image/jpeg	https://observation.org/photos/83677797.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4462365874	StillImage	image/jpeg	https://observation.org/photos/83677796.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4462365874	StillImage	image/jpeg	https://observation.org/photos/83677795.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4462355459	StillImage	image/jpeg	https://observation.org/photos/78958543.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4462355459	StillImage	image/jpeg	https://observation.org/photos/78958542.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4462333746	StillImage	image/jpeg	https://observation.org/photos/77894559.jpg							Jolien Morren			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jolien Morren
4462301255	StillImage	image/jpeg	https://observation.org/photos/99189558.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4462289350	StillImage	image/jpeg	https://observation.org/photos/80118370.jpg							Jolien Morren			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jolien Morren
4462289350	StillImage	image/jpeg	https://observation.org/photos/80118371.jpg							Jolien Morren			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jolien Morren
4462284075	StillImage	image/jpeg	https://observation.org/photos/98622566.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4462284075	StillImage	image/jpeg	https://observation.org/photos/98622567.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4462284075	StillImage	image/jpeg	https://observation.org/photos/98622565.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4462255237	StillImage	image/jpeg	https://observation.org/photos/75993781.jpg							Paul Plaatsman			http://creativecommons.org/licenses/by-nc-nd/4.0/	Paul Plaatsman
4462240306	StillImage	image/jpeg	https://observation.org/photos/75714840.jpg							Paul Plaatsman			http://creativecommons.org/licenses/by-nc-nd/4.0/	Paul Plaatsman
4462219815	StillImage	image/jpeg	https://observation.org/photos/75617434.jpg							Paul Plaatsman			http://creativecommons.org/licenses/by-nc-nd/4.0/	Paul Plaatsman
4462172730	StillImage	image/jpeg	https://observation.org/photos/77893665.jpg							Jolien Morren			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jolien Morren
4462137514	StillImage	image/jpeg	https://observation.org/photos/79929259.jpg							Rob Wassenburg			http://creativecommons.org/licenses/by-nc-nd/4.0/	Rob Wassenburg
4462126956	StillImage	image/jpeg	https://observation.org/photos/78105810.jpg							Jolien Morren			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jolien Morren
4462126708	StillImage	image/jpeg	https://observation.org/photos/83676914.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4462126707	StillImage	image/jpeg	https://observation.org/photos/82408918.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4462107980	StillImage	image/jpeg	https://observation.org/photos/71763823.jpg							Tim			http://creativecommons.org/licenses/by-nc-nd/4.0/	Tim
4462107980	StillImage	image/jpeg	https://observation.org/photos/71763825.jpg							Tim			http://creativecommons.org/licenses/by-nc-nd/4.0/	Tim
4462107980	StillImage	image/jpeg	https://observation.org/photos/71763824.jpg							Tim			http://creativecommons.org/licenses/by-nc-nd/4.0/	Tim
4462093488	StillImage	image/jpeg	https://observation.org/photos/80493064.jpg							Anneke Leferink			http://creativecommons.org/licenses/by-nc-nd/4.0/	Anneke Leferink
4462085924	StillImage	image/jpeg	https://observation.org/photos/80118392.jpg							Jolien Morren			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jolien Morren
4462085924	StillImage	image/jpeg	https://observation.org/photos/80118391.jpg							Jolien Morren			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jolien Morren
4462038825	StillImage	image/jpeg	https://observation.org/photos/83677473.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4462038825	StillImage	image/jpeg	https://observation.org/photos/83677548.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4462017683	StillImage	image/jpeg	https://observation.org/photos/78905579.jpg							MANUEL RUIZ			http://creativecommons.org/licenses/by-nc-nd/4.0/	MANUEL RUIZ
4462016201	StillImage	image/jpeg	https://observation.org/photos/68442678.jpg							Bart van der Vorst			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bart van der Vorst
4461999763	StillImage	image/jpeg	https://observation.org/photos/77286958.jpg							Arnauld van der Heijden			http://creativecommons.org/licenses/by-nc-nd/4.0/	Arnauld van der Heijden
4461991264	StillImage	image/jpeg	https://observation.org/photos/68451762.jpg							Bart van der Vorst			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bart van der Vorst
4461977506	StillImage	image/jpeg	https://observation.org/photos/62951255.jpg							Peter Gels			http://creativecommons.org/licenses/by-nc-nd/4.0/	Peter Gels
4461974132	StillImage	image/jpeg	https://observation.org/photos/79742686.jpg							Rob Wassenburg			http://creativecommons.org/licenses/by-nc-nd/4.0/	Rob Wassenburg
4461966875	StillImage	image/jpeg	https://observation.org/photos/82194288.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4461962559	StillImage	image/jpeg	https://observation.org/photos/80570805.jpg							Joske			http://creativecommons.org/licenses/by-nc-nd/4.0/	Joske
4461962559	StillImage	image/jpeg	https://observation.org/photos/80570804.jpg							Joske			http://creativecommons.org/licenses/by-nc-nd/4.0/	Joske
4461962559	StillImage	image/jpeg	https://observation.org/photos/80570806.jpg							Joske			http://creativecommons.org/licenses/by-nc-nd/4.0/	Joske
4461962559	StillImage	image/jpeg	https://observation.org/photos/80570803.jpg							Joske			http://creativecommons.org/licenses/by-nc-nd/4.0/	Joske
4461958344	StillImage	image/jpeg	https://observation.org/photos/77691866.jpg							Javier Soto Laso			http://creativecommons.org/licenses/by-nc-nd/4.0/	Javier Soto Laso
4461956762	StillImage	image/jpeg	https://observation.org/photos/62895182.jpg							Peter Gels			http://creativecommons.org/licenses/by-nc-nd/4.0/	Peter Gels
4461956417	StillImage	image/jpeg	https://observation.org/photos/58447665.jpg							H. Coops			http://creativecommons.org/licenses/by-nc-nd/4.0/	H. Coops
4461952696	StillImage	image/jpeg	https://observation.org/photos/76378516.jpg							Paul Plaatsman			http://creativecommons.org/licenses/by-nc-nd/4.0/	Paul Plaatsman
4461952696	StillImage	image/jpeg	https://observation.org/photos/76378517.jpg							Paul Plaatsman			http://creativecommons.org/licenses/by-nc-nd/4.0/	Paul Plaatsman
4461951535	StillImage	image/jpeg	https://observation.org/photos/79906630.jpg							Jolien Morren			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jolien Morren
4461938752	StillImage	image/jpeg	https://observation.org/photos/62723098.jpg							Peter Gels			http://creativecommons.org/licenses/by-nc-nd/4.0/	Peter Gels
4461938542	StillImage	image/jpeg	https://observation.org/photos/58498873.jpg							H. Coops			http://creativecommons.org/licenses/by-nc-nd/4.0/	H. Coops
4461922164	StillImage	image/jpeg	https://observation.org/photos/73693040.jpg							Pierre van der Wielen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Pierre van der Wielen
4461922164	StillImage	image/jpeg	https://observation.org/photos/73693041.jpg							Pierre van der Wielen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Pierre van der Wielen
